"time","obs","obs_id","id"
0.5,7.24085345673838,1,1
1,7.53834705572874,1,1
1.5,7.82069443834834,1,1
2,8.25845910869094,1,1
2.5,8.48818329458167,1,1
3,8.42053840106543,1,1
3.5,8.60115055592482,1,1
4,8.5405727456427,1,1
4.5,8.96339922650442,1,1
5,8.87807739898293,1,1
5.5,9.0613500012832,1,1
6,9.0699420145924,1,1
6.5,9.01223853953658,1,1
7,9.20557850629655,1,1
7.5,9.34624868402597,1,1
8,9.34313535897194,1,1
8.5,9.27428193752332,1,1
9,8.90584508863799,1,1
9.5,9.39947282862312,1,1
10,9.32220550253739,1,1
10.5,9.05671100883809,1,1
11,9.46451542877518,1,1
11.5,9.46034694469249,1,1
12,9.14885645969099,1,1
12.5,9.54057284744057,1,1
13,9.42889775294414,1,1
13.5,9.43888908396139,1,1
14,9.29022430971421,1,1
14.5,9.62444819638464,1,1
15,9.41400582251642,1,1
15.5,9.44628904154712,1,1
16,9.45679544023739,1,1
16.5,9.20510799191957,1,1
17,9.24462908072086,1,1
17.5,8.99391675585347,1,1
18,9.26644486843042,1,1
18.5,9.20980800229259,1,1
19,9.69015789142552,1,1
19.5,9.63175706937205,1,1
20,9.45763954745789,1,1
20.5,9.39467963720572,1,1
21,9.54341123848828,1,1
21.5,9.59195931632951,1,1
22,9.24992182628604,1,1
22.5,9.1591823840013,1,1
23,9.57984916899982,1,1
23.5,9.38094986850761,1,1
24,9.27050983991445,1,1
24.5,9.15244146211186,1,1
25,9.80571797397883,1,1
25.5,9.51741290377627,1,1
26,9.58324649895997,1,1
26.5,9.47556183414881,1,1
27,9.76193740460954,1,1
27.5,9.33174525827914,1,1
28,9.58016933772382,1,1
28.5,9.81366179898954,1,1
29,9.51582120342616,1,1
29.5,9.43548573097706,1,1
30,9.37288042686294,1,1
0.5,5.73676304072455,1,2
1,6.03837042691967,1,2
1.5,6.45018232201774,1,2
2,6.69559550517438,1,2
2.5,6.98287318267161,1,2
3,6.65739036303185,1,2
3.5,7.14312353309431,1,2
4,6.78512033366504,1,2
4.5,7.55692643437002,1,2
5,6.57701427374736,1,2
5.5,7.15181585327098,1,2
6,7.10958802326544,1,2
6.5,6.74351526821884,1,2
7,7.04701603782628,1,2
7.5,7.4814572614142,1,2
8,6.89035838632585,1,2
8.5,7.3278374268658,1,2
9,7.32077461359647,1,2
9.5,7.27454442218918,1,2
10,7.28878735584468,1,2
10.5,7.28149798037005,1,2
11,7.40362516861193,1,2
11.5,6.91954562574065,1,2
12,7.51535257736317,1,2
12.5,7.13433620907695,1,2
13,6.77457914175192,1,2
13.5,7.17805315292104,1,2
14,6.84103220862688,1,2
14.5,7.27743583853159,1,2
15,6.973522668237,1,2
15.5,6.79693345656934,1,2
16,6.67201583602262,1,2
16.5,7.32925740426121,1,2
17,7.15861473088193,1,2
17.5,6.90489439809561,1,2
18,7.23481223475627,1,2
18.5,7.21488678160873,1,2
19,7.30028189970065,1,2
19.5,7.27809643812816,1,2
20,7.20096651097099,1,2
20.5,6.92725407858615,1,2
21,7.37015803332626,1,2
21.5,6.97792926628074,1,2
22,7.2605603046002,1,2
22.5,7.42694597343741,1,2
23,7.54408686944598,1,2
23.5,7.53909972947219,1,2
24,7.24807403597667,1,2
24.5,7.1977217065771,1,2
25,6.94826808043805,1,2
25.5,6.76795964539586,1,2
26,7.26460741021357,1,2
26.5,7.06365884555687,1,2
27,7.39645275514764,1,2
27.5,7.28631911274329,1,2
28,7.04356830583828,1,2
28.5,7.27264324773521,1,2
29,7.32044603009582,1,2
29.5,7.22522139840506,1,2
30,6.93653976721185,1,2
