"time","obs","obs_id","id"
0,1.89613757482608,1,1
0.5,5.46869657192871,1,1
1,5.69912540317279,1,1
1.5,6.28214778237131,1,1
2,6.32753816215816,1,1
2.5,6.2969925132205,1,1
3,6.64516467762711,1,1
3.5,6.11842541592413,1,1
4,6.83234997805469,1,1
4.5,6.224052028982,1,1
5,6.30664505943677,1,1
5.5,6.34473387962149,1,1
6,6.28975910631825,1,1
6.5,6.11190849314131,1,1
7,6.38523263978679,1,1
7.5,6.57484549858282,1,1
8,6.38616567943299,1,1
8.5,6.38004110964227,1,1
9,6.23456767691578,1,1
9.5,5.99334200808429,1,1
10,6.3248035902223,1,1
10.5,6.40992032376535,1,1
11,6.13727022909207,1,1
11.5,5.87392854553413,1,1
12,6.10633982932134,1,1
12.5,6.39954260811819,1,1
13,6.2203095726009,1,1
13.5,6.12119003945785,1,1
14,6.04394702900486,1,1
14.5,6.06067849219242,1,1
15,5.8619514321266,1,1
15.5,6.04073771276288,1,1
16,6.19664092240011,1,1
16.5,6.03138107205252,1,1
17,6.15907314121766,1,1
17.5,5.83678025731997,1,1
18,5.466025310242,1,1
18.5,5.75832002500714,1,1
19,5.64740414439345,1,1
19.5,5.45535159531487,1,1
20,5.8153037874024,1,1
20.5,5.59928676552832,1,1
21,5.96004015912156,1,1
21.5,5.76917938466122,1,1
22,5.70652407898682,1,1
22.5,5.51436649541803,1,1
23,5.32405262769812,1,1
23.5,5.40984060692182,1,1
24,5.73989449453738,1,1
24.5,5.4077335426807,1,1
25,5.68931582622306,1,1
25.5,5.91903347467768,1,1
26,5.1982023613098,1,1
26.5,5.39836769935267,1,1
27,5.4445585092082,1,1
27.5,5.5662705077515,1,1
28,5.069204840431,1,1
28.5,5.18065346833481,1,1
29,5.24129907376234,1,1
29.5,5.03984691560266,1,1
30,5.52725638261445,1,1
0,1.99202693362018,1,2
0.5,5.28557136217307,1,2
1,5.74735192206052,1,2
1.5,5.87799015827002,1,2
2,5.84907971337904,1,2
2.5,6.02070542404975,1,2
3,6.16265366069662,1,2
3.5,6.34376793231569,1,2
4,5.71246253131137,1,2
4.5,5.88880036649777,1,2
5,6.08684907400761,1,2
5.5,5.99531495205507,1,2
6,6.06132729417225,1,2
6.5,5.87621185289772,1,2
7,6.12796364192054,1,2
7.5,6.19951538064061,1,2
8,6.03297609355553,1,2
8.5,5.85073671714861,1,2
9,5.92501333025776,1,2
9.5,5.51565151444312,1,2
10,5.84645706375801,1,2
10.5,6.20156324592612,1,2
11,5.88307234697326,1,2
11.5,5.77280332856327,1,2
12,5.68103357967399,1,2
12.5,5.64547709930036,1,2
13,5.48471571610637,1,2
13.5,5.97382915850607,1,2
14,5.3251043636653,1,2
14.5,5.72605378373866,1,2
15,5.75925317535323,1,2
15.5,5.56900506424928,1,2
16,5.26277150131839,1,2
16.5,5.60828596358457,1,2
17,5.45781735888702,1,2
17.5,5.70721980674258,1,2
18,5.28474595717874,1,2
18.5,5.94168003634889,1,2
19,5.37059831118993,1,2
19.5,5.26724109229368,1,2
20,5.61627277684559,1,2
20.5,5.33072360160455,1,2
21,5.50507146436222,1,2
21.5,5.543617774016,1,2
22,5.49365466694956,1,2
22.5,4.94226428535295,1,2
23,5.0180989837737,1,2
23.5,5.14717598487833,1,2
24,5.10401568422175,1,2
24.5,5.27312276289305,1,2
25,5.19760290516033,1,2
25.5,5.25800670031221,1,2
26,5.6195528350839,1,2
26.5,5.14112720045892,1,2
27,4.87901853037677,1,2
27.5,4.97396432648968,1,2
28,4.90057640424898,1,2
28.5,5.40457456065263,1,2
29,4.64727542574563,1,2
29.5,4.851098139924,1,2
30,4.97768561377171,1,2
0,2.19470533889797,1,3
0.5,5.6300482820159,1,3
1,6.37860860083464,1,3
1.5,6.57114799102512,1,3
2,6.74842952926439,1,3
2.5,6.61107484163136,1,3
3,6.95877777487177,1,3
3.5,6.72236386830574,1,3
4,7.25455928214381,1,3
4.5,7.02670957321041,1,3
5,7.19225083661462,1,3
5.5,6.83153258166183,1,3
6,6.74439848712008,1,3
6.5,6.30416717064379,1,3
7,6.89591987311214,1,3
7.5,6.64813501478262,1,3
8,6.51173854957417,1,3
8.5,6.46499170720367,1,3
9,7.05435447977901,1,3
9.5,6.51472013547479,1,3
10,6.70973135992155,1,3
10.5,6.44798481111734,1,3
11,6.67437418864883,1,3
11.5,6.59417402007667,1,3
12,6.49428553449152,1,3
12.5,6.39816542678426,1,3
13,6.72237410219219,1,3
13.5,6.06333993336759,1,3
14,6.15627443665675,1,3
14.5,6.17287836443691,1,3
15,6.24003396078343,1,3
15.5,6.2462421142796,1,3
16,6.11922079371776,1,3
16.5,6.40122449528931,1,3
17,6.12309529705704,1,3
17.5,5.92030117518419,1,3
18,6.24258646437366,1,3
18.5,5.83041377331133,1,3
19,6.20370135534418,1,3
19.5,5.74373023544771,1,3
20,6.030074992643,1,3
20.5,5.89665357855424,1,3
21,6.30567721763839,1,3
21.5,6.00305571848258,1,3
22,5.75974271587913,1,3
22.5,5.43321535200541,1,3
23,5.89559917574747,1,3
23.5,5.89205427381381,1,3
24,5.71843955837949,1,3
24.5,5.82053284955712,1,3
25,5.92846971456443,1,3
25.5,5.65811249434894,1,3
26,6.03884277248278,1,3
26.5,5.5336337933399,1,3
27,5.15036482665207,1,3
27.5,5.39649384771034,1,3
28,5.51287021120019,1,3
28.5,5.18687481438794,1,3
29,5.24549646289849,1,3
29.5,5.00175039504349,1,3
30,5.55410980249886,1,3
0,2.22191766739894,1,4
0.5,5.68368145071382,1,4
1,5.77491452240043,1,4
1.5,6.17804715448886,1,4
2,6.30301150201578,1,4
2.5,6.51714676079369,1,4
3,6.63426428391364,1,4
3.5,6.22109412710921,1,4
4,6.66015024340803,1,4
4.5,6.44054926488355,1,4
5,6.46674554917522,1,4
5.5,6.55008175576202,1,4
6,6.59951678799348,1,4
6.5,6.41952553722653,1,4
7,6.59596906782107,1,4
7.5,6.87747536139443,1,4
8,6.52689638784579,1,4
8.5,6.78111053113384,1,4
9,6.39634987701863,1,4
9.5,6.20022054268168,1,4
10,6.36267440188645,1,4
10.5,6.54700558402054,1,4
11,6.59972915538081,1,4
11.5,6.1481965855487,1,4
12,6.45925376157852,1,4
12.5,6.34395871309626,1,4
13,5.91032175004126,1,4
13.5,6.44613940049402,1,4
14,6.12199984633507,1,4
14.5,5.79491224754356,1,4
15,5.70080757714914,1,4
15.5,5.71701071550982,1,4
16,5.66475058184417,1,4
16.5,5.95139058046844,1,4
17,6.18716376793935,1,4
17.5,5.9782001711013,1,4
18,5.82637205167221,1,4
18.5,5.75436035997637,1,4
19,5.54986848952383,1,4
19.5,5.72209360326334,1,4
20,5.41045026616502,1,4
20.5,5.6808054154764,1,4
21,5.12178255975221,1,4
21.5,5.46862266964456,1,4
22,5.61746263480547,1,4
22.5,5.62427121897909,1,4
23,5.5128782439024,1,4
23.5,5.64324882811269,1,4
24,5.40065032037591,1,4
24.5,5.11536812189579,1,4
25,5.08042887487195,1,4
25.5,5.35375058265603,1,4
26,5.10937189076084,1,4
26.5,5.12722698952586,1,4
27,5.08019554286718,1,4
27.5,4.99643477744876,1,4
28,5.06763306639864,1,4
28.5,4.85296026096014,1,4
29,4.87638531019003,1,4
29.5,4.23094468180532,1,4
30,4.98517842458358,1,4
0,2.18211042024876,1,5
0.5,6.01833715570962,1,5
1,6.25150630034635,1,5
1.5,6.54945778722362,1,5
2,6.46189082601102,1,5
2.5,6.8088381161192,1,5
3,7.20192602572932,1,5
3.5,6.69342953680921,1,5
4,6.83117503153201,1,5
4.5,6.92708568204656,1,5
5,7.15434407817674,1,5
5.5,6.74052580056755,1,5
6,6.74691179986929,1,5
6.5,7.37052214560252,1,5
7,6.79341115415769,1,5
7.5,7.2393929225008,1,5
8,6.84493398984106,1,5
8.5,6.60304329971088,1,5
9,6.82990712853246,1,5
9.5,6.89579446982684,1,5
10,6.76046820256916,1,5
10.5,6.94802653407471,1,5
11,6.99117210024669,1,5
11.5,6.59259909593813,1,5
12,6.66777758581001,1,5
12.5,6.25996265186511,1,5
13,6.60310885083537,1,5
13.5,6.59941251598584,1,5
14,6.4979148627756,1,5
14.5,6.78660337335955,1,5
15,6.78616751522269,1,5
15.5,6.68984088173793,1,5
16,6.38747443842156,1,5
16.5,6.85475353413878,1,5
17,6.75794991384877,1,5
17.5,6.31082684832568,1,5
18,6.29920913663556,1,5
18.5,6.43903936865682,1,5
19,6.32840154471899,1,5
19.5,6.14628169461867,1,5
20,6.5217641344417,1,5
20.5,6.41212123527668,1,5
21,6.27223029916894,1,5
21.5,6.48876383239648,1,5
22,6.39263958687474,1,5
22.5,6.18652908754804,1,5
23,6.24485273976199,1,5
23.5,6.10352201633122,1,5
24,6.1385960229539,1,5
24.5,6.40253754229546,1,5
25,6.38207513370957,1,5
25.5,6.5563629263654,1,5
26,6.33224487566247,1,5
26.5,6.37408756443009,1,5
27,6.2377918297509,1,5
27.5,5.86050106921429,1,5
28,6.21796781290936,1,5
28.5,6.12077528848092,1,5
29,6.08924802885019,1,5
29.5,6.31463548502005,1,5
30,6.25933329178882,1,5
0,2.30602200154809,1,6
0.5,5.36745460566171,1,6
1,6.13379878932013,1,6
1.5,6.34605843318342,1,6
2,6.47553929657286,1,6
2.5,6.86457565594588,1,6
3,6.71933703242573,1,6
3.5,6.84697305098472,1,6
4,6.72214342666135,1,6
4.5,6.67737322412126,1,6
5,6.98063372244466,1,6
5.5,6.68220818395706,1,6
6,7.09119862191291,1,6
6.5,7.19639958169058,1,6
7,7.08827928747274,1,6
7.5,7.05647914953385,1,6
8,7.04030808569713,1,6
8.5,7.17453430483474,1,6
9,7.03377776748176,1,6
9.5,6.82529506617703,1,6
10,7.10871945798508,1,6
10.5,6.47764621995893,1,6
11,6.54818186239535,1,6
11.5,6.90296894136596,1,6
12,6.92520659682685,1,6
12.5,6.53233446938695,1,6
13,6.66638122596274,1,6
13.5,6.68466529832463,1,6
14,6.58444309108314,1,6
14.5,6.95246634970555,1,6
15,6.71294694108453,1,6
15.5,6.3588066952827,1,6
16,6.69512755981351,1,6
16.5,6.35853694435212,1,6
17,6.6145747015051,1,6
17.5,6.66818689032391,1,6
18,6.41691874668074,1,6
18.5,6.80108030293999,1,6
19,6.48808781316656,1,6
19.5,6.4555818235287,1,6
20,6.60019073697512,1,6
20.5,6.14339233914894,1,6
21,6.64676936606612,1,6
21.5,6.61090730418748,1,6
22,6.19139287310482,1,6
22.5,6.08319905011406,1,6
23,5.88636581054363,1,6
23.5,6.67944895517689,1,6
24,5.88752510145654,1,6
24.5,6.66150477936829,1,6
25,6.59641354159265,1,6
25.5,6.04125836692458,1,6
26,5.95738255801786,1,6
26.5,6.09003237947046,1,6
27,5.80890472770761,1,6
27.5,6.00605045121359,1,6
28,6.46357235620641,1,6
28.5,5.88956532638977,1,6
29,5.90399211121327,1,6
29.5,6.02433582156354,1,6
30,5.9029555707938,1,6
0,1.69962108552246,1,7
0.5,5.13830627417486,1,7
1,6.04101874461855,1,7
1.5,6.15880835813645,1,7
2,5.5598217782622,1,7
2.5,5.72949160587309,1,7
3,5.94708511226755,1,7
3.5,5.87055983913463,1,7
4,5.75458642419542,1,7
4.5,6.31339682020394,1,7
5,5.79831803002386,1,7
5.5,6.05842235815412,1,7
6,5.88065314740498,1,7
6.5,5.6621586168265,1,7
7,5.78165173798629,1,7
7.5,5.8619478921855,1,7
8,5.45254575180658,1,7
8.5,5.72156372567363,1,7
9,5.38527618661542,1,7
9.5,5.48204488654768,1,7
10,5.85117121364309,1,7
10.5,5.52496613812881,1,7
11,5.43896707125709,1,7
11.5,5.59007523345018,1,7
12,5.27014130875025,1,7
12.5,5.35014514892261,1,7
13,5.31074789836257,1,7
13.5,5.30102806839012,1,7
14,5.59738407716277,1,7
14.5,5.33192462481213,1,7
15,5.07688669222151,1,7
15.5,5.50481677337695,1,7
16,5.10697157502583,1,7
16.5,5.00221904573521,1,7
17,5.01869320440127,1,7
17.5,5.46475293824363,1,7
18,5.38664787545282,1,7
18.5,5.13823226197652,1,7
19,5.16079317325783,1,7
19.5,4.87696919175595,1,7
20,5.03220881766419,1,7
20.5,4.92256988888324,1,7
21,5.15811403781909,1,7
21.5,5.15430571975705,1,7
22,4.84878247831595,1,7
22.5,4.96944163634558,1,7
23,5.06483112986697,1,7
23.5,4.661239005092,1,7
24,4.58356328818559,1,7
24.5,5.09687396285678,1,7
25,4.9752616228894,1,7
25.5,4.96450130725329,1,7
26,4.37909759101611,1,7
26.5,4.86077678763753,1,7
27,4.78494092429834,1,7
27.5,4.80514147139019,1,7
28,4.85030711728573,1,7
28.5,4.50782480861798,1,7
29,4.80756982598463,1,7
29.5,4.65862078913998,1,7
30,4.74808621457583,1,7
0,1.8456642295435,1,8
0.5,6.11983585736839,1,8
1,6.47075149077575,1,8
1.5,6.81981670355808,1,8
2,6.93891487259824,1,8
2.5,6.88954804065934,1,8
3,7.15081722084107,1,8
3.5,6.96944596939158,1,8
4,6.96314319647332,1,8
4.5,7.20929485667412,1,8
5,7.04113800957744,1,8
5.5,6.93701214471232,1,8
6,7.27457805620356,1,8
6.5,6.84750154140843,1,8
7,6.657833622483,1,8
7.5,6.96237712409416,1,8
8,7.02422307492511,1,8
8.5,7.17505448493888,1,8
9,6.67798131071487,1,8
9.5,6.64428245177176,1,8
10,7.00793530923117,1,8
10.5,6.87371976860403,1,8
11,6.36596362040857,1,8
11.5,6.60163504041082,1,8
12,6.64555127181856,1,8
12.5,6.31393994660391,1,8
13,6.58098181417092,1,8
13.5,6.66136878706286,1,8
14,6.72580509287585,1,8
14.5,6.48698952934363,1,8
15,6.37227528544569,1,8
15.5,6.71100607921048,1,8
16,6.53971785078924,1,8
16.5,6.35650810090691,1,8
17,6.25373553700331,1,8
17.5,6.1754654466332,1,8
18,6.12353319426728,1,8
18.5,5.79914495241993,1,8
19,6.39111572102271,1,8
19.5,5.99096242439332,1,8
20,5.85007732099733,1,8
20.5,6.34359651132156,1,8
21,6.13686567361493,1,8
21.5,6.165176817739,1,8
22,6.04358558437189,1,8
22.5,5.95464421931651,1,8
23,5.81676809079133,1,8
23.5,5.85646936669392,1,8
24,5.49745369411103,1,8
24.5,5.76314052158026,1,8
25,5.89250098403454,1,8
25.5,6.26059902880589,1,8
26,5.48693483261253,1,8
26.5,5.85640727060044,1,8
27,5.52829825651939,1,8
27.5,5.47579241347308,1,8
28,5.8281866231256,1,8
28.5,5.33146549537828,1,8
29,5.31023650391433,1,8
29.5,5.67617591529077,1,8
30,5.20171845617711,1,8
0,2.12585879039516,1,9
0.5,6.17914961394325,1,9
1,6.44756056774375,1,9
1.5,6.83780682544714,1,9
2,6.52964334404632,1,9
2.5,6.80701526564979,1,9
3,6.86010389607834,1,9
3.5,6.69827154458178,1,9
4,6.50506363689186,1,9
4.5,6.77688611792109,1,9
5,6.85513549182162,1,9
5.5,6.5555756122513,1,9
6,6.75142900021248,1,9
6.5,6.46038983722456,1,9
7,6.81726588937913,1,9
7.5,6.78474591912267,1,9
8,6.536809843854,1,9
8.5,6.50673161800102,1,9
9,6.53180514098444,1,9
9.5,6.63770886776228,1,9
10,6.29960590218098,1,9
10.5,6.64203363201996,1,9
11,6.37116354886957,1,9
11.5,6.36236036209476,1,9
12,6.16178048961173,1,9
12.5,6.09344051771692,1,9
13,6.49167990509944,1,9
