"time","obs","obs_id","id"
0.5,4.86604991061609,1,1
1,5.51927821968668,1,1
1.5,5.46771823251223,1,1
2,5.88626140972039,1,1
2.5,5.90635030094575,1,1
3,5.79792569233582,1,1
3.5,6.14621011759358,1,1
4,5.62099665950907,1,1
4.5,6.33617387254905,1,1
5,5.72604941934089,1,1
5.5,5.82670049532731,1,1
6,5.87521065922823,1,1
6.5,5.84383986636751,1,1
7,5.69819329563903,1,1
7.5,5.98941437249747,1,1
8,6.2254942671338,1,1
8.5,6.05648939246327,1,1
9,6.0697766795263,1,1
9.5,5.95757625708611,1,1
10,5.71977025696537,1,1
10.5,6.07455613027989,1,1
11,6.18604556959147,1,1
11.5,5.91775448669442,1,1
12,5.68433980668355,1,1
12.5,5.92904938090596,1,1
13,6.22661682185573,1,1
13.5,6.07275214617964,1,1
14,6.00864969236804,1,1
14.5,5.94428859065122,1,1
15,5.96912653637598,1,1
15.5,5.79971453418698,1,1
16,5.99702750678063,1,1
16.5,6.21251335937115,1,1
17,6.07348800357937,1,1
17.5,6.21305182801732,1,1
18,5.92360537311347,1,1
18.5,5.59116496638639,1,1
19,5.92912501317946,1,1
19.5,5.85155094337567,1,1
20,5.68451617973913,1,1
20.5,6.09833189550055,1,1
21,5.90196741933352,1,1
21.5,6.29754650159332,1,1
22,6.11624949263474,1,1
22.5,6.09393601852793,1,1
23,5.93000005047295,1,1
23.5,5.78059846827186,1,1
24,5.89595437070665,1,1
24.5,6.27441936500465,1,1
25,5.95004946362144,1,1
25.5,6.2389623079339,1,1
26,6.47033660700542,1,1
26.5,5.75725125940536,1,1
27,5.98548359464479,1,1
27.5,6.05785916468533,1,1
28,6.23234625296467,1,1
28.5,5.74886080142315,1,1
29,5.88840702782081,1,1
29.5,5.9757165695287,1,1
30,5.79378618446769,1,1
0.5,4.21350504633441,1,2
1,4.38177874898836,1,2
1.5,4.56956250433215,1,2
2,4.53373125775249,1,2
2.5,4.47022225712397,1,2
3,4.32793280613322,1,2
3.5,4.4941162762063,1,2
4,4.60437019946016,1,2
4.5,4.79025271004088,1,2
5,4.17313265733217,1,2
5.5,4.34228498151406,1,2
6,4.53137031862641,1,2
6.5,4.43786435793293,1,2
7,4.5174460910355,1,2
7.5,4.33754968368739,1,2
8,4.5905665963238,1,2
8.5,4.662742173933,1,2
9,4.52894391806074,1,2
9.5,4.37270148628545,1,2
10,4.4574032016349,1,2
10.5,4.06675769263649,1,2
11,4.41742977381789,1,2
11.5,4.79827217759829,1,2
12,4.50202187986079,1,2
12.5,4.40995546302652,1,2
13,4.33382613046967,1,2
13.5,4.3326862564675,1,2
14,4.21425352695884,1,2
14.5,4.71543620860844,1,2
15,4.09330171939329,1,2
15.5,4.5113662627515,1,2
16,4.58163081696747,1,2
16.5,4.41539484584013,1,2
17,4.1457596222259,1,2
17.5,4.51260100840027,1,2
18,4.36920534235114,1,2
18.5,4.62701904587736,1,2
19,4.21531362308797,1,2
19.5,4.88934617202613,1,2
20,4.35932717404835,1,2
20.5,4.26130238009577,1,2
21,4.64014801541168,1,2
21.5,4.36665060640709,1,2
22,4.57235828941532,1,2
22.5,4.62880605108905,1,2
23,4.58378797304074,1,2
23.5,4.08242020414368,1,2
24,4.17945647390771,1,2
24.5,4.34875739608397,1,2
25,4.32500037714896,1,2
25.5,4.50348920004804,1,2
26,4.44114055505516,1,2
26.5,4.52033806544097,1,2
27,4.91860257701843,1,2
27.5,4.4834301972951,1,2
28,4.21496022547351,1,2
28.5,4.33941427368027,1,2
29,4.29116074118255,1,2
29.5,4.81154672899244,1,2
30,4.05902862333239,1,2
0.5,5.93250489051304,1,3
1,6.8976181364265,1,3
1.5,6.87361445209146,1,3
2,6.77976619387015,1,3
2.5,7.00708249718019,1,3
3,6.9794969424931,1,3
3.5,7.05423533954708,1,3
4,6.8417840431271,1,3
4.5,7.16063452074425,1,3
5,6.92620908149134,1,3
5.5,7.46480725190733,1,3
6,7.248178389709,1,3
6.5,7.39834310387348,1,3
7,7.05026092053676,1,3
7.5,7.00163725130002,1,3
8,6.58821546089488,1,3
8.5,7.1914371811337,1,3
9,6.95304492863719,1,3
9.5,6.85050074633461,1,3
10,6.84224049472986,1,3
10.5,7.46044627847183,1,3
11,6.94260247507286,1,3
11.5,7.16642045239833,1,3
12,6.94512623059331,1,3
12.5,7.20067346590538,1,3
13,7.15334815509998,1,3
13.5,7.08550466625558,1,3
14,7.02072570076057,1,3
14.5,7.36778114671696,1,3
15,6.74515161801027,1,3
15.5,6.85910702539297,1,3
16,6.89943299721331,1,3
16.5,6.99544108858179,1,3
17,7.04383967177591,1,3
17.5,6.96840696002354,1,3
18,7.297887225564,1,3
18.5,7.05411794137447,1,3
19,6.87038776615789,1,3
19.5,7.21470463008849,1,3
20,6.86083725971659,1,3
20.5,7.27441077229685,1,3
21,6.87682014385367,1,3
21.5,7.17906555512125,1,3
22,7.07829703003103,1,3
22.5,7.52301872547602,1,3
23,7.262829270452,1,3
23.5,7.03705409691473,1,3
24,6.74507124288659,1,3
24.5,7.25421534914399,1,3
25,7.27785040934351,1,3
25.5,7.1050395084269,1,3
26,7.24372819715652,1,3
26.5,7.33773594775359,1,3
27,7.09808182692636,1,3
27.5,7.50591613595753,1,3
28,7.03806103451839,1,3
28.5,6.68253996052513,1,3
29,6.96852064544907,1,3
