time,obs,obs_id,id
0,5.46515373027246,1,1
0.5,6.21031244404985,1,1
1,6.17932206083426,1,1
1.5,6.36277733190972,1,1
2,6.31007504933375,1,1
2.5,6.82204142776037,1,1
3,6.14231188065699,1,1
3.5,6.56575919054085,1,1
4,6.61516311764287,1,1
4.5,6.68788711914549,1,1
5,6.21801335064126,1,1
5.5,6.79044755357423,1,1
6,6.38790055374067,1,1
6.5,6.61492626585631,1,1
7,6.4253648637402,1,1
7.5,6.37968798627198,1,1
8,6.29751364118346,1,1
8.5,6.37697900069772,1,1
9,6.07013368862713,1,1
9.5,6.59850471668885,1,1
10,6.29776179299335,1,1
10.5,6.02612740269781,1,1
11,6.57889083895419,1,1
11.5,6.45219241299609,1,1
12,5.99407794919285,1,1
12.5,6.43818318563808,1,1
13,6.12739525332636,1,1
13.5,5.86075596176994,1,1
14,6.11116714586359,1,1
14.5,5.93967609979998,1,1
15,6.09892502651983,1,1
15.5,5.97959072179945,1,1
16,6.1275908721715,1,1
16.5,5.91126918149351,1,1
17,6.12422955432803,1,1
17.5,5.99737014618677,1,1
18,6.06821708334772,1,1
18.5,5.7132067055748,1,1
19,5.78172123329819,1,1
19.5,5.99612985077847,1,1
20,5.78489192435123,1,1
20.5,5.62427155070841,1,1
21,6.00202449452949,1,1
21.5,5.96561613013445,1,1
22,5.50944851354063,1,1
22.5,5.49625486975344,1,1
23,5.87896008512889,1,1
23.5,5.33513387045606,1,1
24,5.54703484983108,1,1
24.5,5.79791562058923,1,1
25,5.57722658709858,1,1
25.5,5.44747633519454,1,1
26,5.39354415104565,1,1
26.5,5.15739382418576,1,1
27,5.33915072140329,1,1
27.5,5.17284245142982,1,1
28,5.31648811315955,1,1
28.5,5.2133656366534,1,1
29,5.14835172256025,1,1
29.5,5.32281169343464,1,1
30,4.91122013829255,1,1
0,5.9509792239197,1,2
0.5,5.90688269322907,1,2
1,6.08577785215029,1,2
1.5,6.42013104861476,1,2
2,6.43170698400819,1,2
2.5,6.87794129649028,1,2
3,6.42917518838346,1,2
3.5,6.44823746970586,1,2
4,6.63573709521541,1,2
4.5,6.70631538220766,1,2
5,6.283989285053,1,2
5.5,6.76773902750304,1,2
6,6.92840219621335,1,2
6.5,6.79446438898132,1,2
7,6.90908972551749,1,2
7.5,6.84323478677412,1,2
8,6.95222904969508,1,2
8.5,6.68865363694606,1,2
9,6.94720064090051,1,2
9.5,6.67646376159192,1,2
10,6.59102562612846,1,2
10.5,6.74685158392065,1,2
11,6.98542705072606,1,2
11.5,6.91768794881451,1,2
12,6.45496659598677,1,2
12.5,6.89318066757784,1,2
13,6.33757761646385,1,2
13.5,6.49735111949608,1,2
14,6.4525025068216,1,2
14.5,6.60879599391024,1,2
15,6.55892390646268,1,2
15.5,6.65593383221488,1,2
16,6.2686887674021,1,2
16.5,6.42731258643764,1,2
17,6.37515257857788,1,2
17.5,6.42223376975892,1,2
18,6.48972249346304,1,2
18.5,6.46054230218895,1,2
19,6.5518134563593,1,2
19.5,6.51458092951344,1,2
20,6.16349656558801,1,2
20.5,6.34307421915906,1,2
21,6.22842593620533,1,2
21.5,6.32025079944169,1,2
22,6.23274059520374,1,2
22.5,6.1793340208488,1,2
23,6.38899446138095,1,2
23.5,6.19923544621674,1,2
24,6.18546340313893,1,2
24.5,6.11535768235761,1,2
25,6.32476535607964,1,2
25.5,5.85790929527078,1,2
26,6.20786121115711,1,2
26.5,5.69543341660944,1,2
27,6.24122601764802,1,2
27.5,5.3123203401444,1,2
28,5.81755672375226,1,2
28.5,5.81388534963408,1,2
29,5.56205085571681,1,2
29.5,6.12278552277486,1,2
30,6.21221811353122,1,2
0,5.42666130297295,1,3
0.5,5.85196256723944,1,3
1,6.09014266350928,1,3
1.5,6.71899128760595,1,3
2,6.78820526944979,1,3
2.5,6.35237511301871,1,3
3,6.801860838595,1,3
3.5,6.75213195354669,1,3
4,7.0531061485322,1,3
4.5,6.9107167902999,1,3
5,7.06759719648346,1,3
5.5,6.88409261900437,1,3
6,6.55539719596665,1,3
6.5,7.09648848647282,1,3
7,7.03943034318311,1,3
7.5,6.93801722307018,1,3
8,6.98366086196083,1,3
8.5,6.93815101809876,1,3
9,6.54755250676685,1,3
9.5,6.73889229258579,1,3
10,6.69234220087965,1,3
10.5,6.57007763287757,1,3
11,6.76214113977021,1,3
11.5,6.45410508925303,1,3
12,6.81588643079291,1,3
12.5,6.20269449956065,1,3
13,6.68107153556542,1,3
13.5,6.4767216415236,1,3
14,6.88518125145908,1,3
14.5,6.33755733683746,1,3
15,6.62756024776168,1,3
15.5,6.44119144977017,1,3
16,6.63814596840821,1,3
16.5,6.13775808991029,1,3
17,6.13671013452141,1,3
17.5,5.82458011599855,1,3
18,6.392528809509,1,3
18.5,5.92550541627499,1,3
19,5.91911536949161,1,3
19.5,6.59461286041194,1,3
20,6.01058402413535,1,3
20.5,5.68741560514628,1,3
21,5.82023341746924,1,3
21.5,5.61010311086494,1,3
22,5.82540364132347,1,3
22.5,5.99876451373263,1,3
23,5.94163287958394,1,3
23.5,5.52967474979015,1,3
24,5.45384301510201,1,3
24.5,5.98920816191164,1,3
25,5.40171447710793,1,3
25.5,5.70118932139333,1,3
26,6.15800100943939,1,3
26.5,5.86388922149472,1,3
27,5.7287635578062,1,3
27.5,5.95934062034238,1,3
28,5.50000392355339,1,3
28.5,5.03380810117269,1,3
29,5.39353256291902,1,3
29.5,5.25326648225181,1,3
30,5.49607813497417,1,3
0,5.39467634636435,1,4
0.5,5.83157641791254,1,4
1,6.21388215285097,1,4
1.5,6.43889298970871,1,4
2,6.87348668379526,1,4
2.5,6.67592645844638,1,4
3,7.00766813406251,1,4
3.5,6.80873016994575,1,4
4,7.04059350166242,1,4
4.5,6.71318553679862,1,4
5,6.80448683421498,1,4
5.5,6.99017036140613,1,4
6,7.34805519124032,1,4
6.5,6.50152848069909,1,4
7,6.8948247976519,1,4
7.5,6.95777872233377,1,4
8,6.75604911334845,1,4
8.5,6.6361301482384,1,4
9,6.69109261053716,1,4
9.5,6.52876988724569,1,4
10,6.79080549813984,1,4
10.5,6.83969248382324,1,4
11,6.96855227767429,1,4
11.5,6.64300041601182,1,4
12,7.28918140959578,1,4
12.5,6.97913236363117,1,4
13,6.76188022924068,1,4
13.5,6.77082057536129,1,4
14,6.88788450202417,1,4
14.5,6.75980529258794,1,4
15,6.837983404093,1,4
15.5,6.91705663844078,1,4
16,6.40360050674412,1,4
16.5,6.50180722670969,1,4
17,6.38128289726826,1,4
17.5,6.37676679899597,1,4
18,6.63536522514263,1,4
18.5,6.54394182857941,1,4
19,6.68856544482417,1,4
19.5,6.44520746409496,1,4
20,6.37614212761609,1,4
20.5,6.18113808587441,1,4
21,6.31841847894767,1,4
21.5,6.27906154249227,1,4
22,6.5617360015217,1,4
22.5,5.99635706284035,1,4
23,6.08176261592808,1,4
23.5,6.87912142895396,1,4
24,6.50702765867719,1,4
24.5,6.33818488725713,1,4
25,6.26255427819434,1,4
25.5,6.24301025281936,1,4
26,5.85943980309619,1,4
26.5,5.92560371465804,1,4
27,6.37142830463746,1,4
27.5,6.43794738637361,1,4
28,6.16143501189057,1,4
28.5,5.88202034233518,1,4
29,5.92196153970927,1,4
29.5,5.96313591223255,1,4
30,5.78411902221219,1,4
0,5.90225272023173,1,5
0.5,5.95815174446229,1,5
1,6.69309005332189,1,5
1.5,6.93177146083387,1,5
2,6.51633926164681,1,5
2.5,6.58029902113827,1,5
3,6.74893929429344,1,5
3.5,6.81854335731518,1,5
4,6.47937520815892,1,5
4.5,6.7141978504869,1,5
5,7.12894596520166,1,5
5.5,6.92795774013982,1,5
6,6.46209733751126,1,5
6.5,7.18496745354964,1,5
7,6.60154861657719,1,5
7.5,6.61637138492174,1,5
8,6.90275490035588,1,5
8.5,6.40536466277523,1,5
9,6.4327163715363,1,5
9.5,6.70227528883883,1,5
10,6.4747376424249,1,5
10.5,6.29594962437585,1,5
11,6.63408294782271,1,5
11.5,6.3621405462922,1,5
12,6.39160354658552,1,5
12.5,6.60559781726307,1,5
13,6.67035419519507,1,5
13.5,6.39721986093968,1,5
14,6.48621111554997,1,5
14.5,6.46101103142041,1,5
15,6.39330276767833,1,5
15.5,5.95661195180055,1,5
16,6.36196454794243,1,5
16.5,5.96344231431879,1,5
17,6.21986337243324,1,5
17.5,6.26866439256532,1,5
18,6.50414012323815,1,5
18.5,6.07658154577023,1,5
19,6.24255278923056,1,5
19.5,6.35849886841454,1,5
20,5.98925875435926,1,5
20.5,6.05633566445495,1,5
21,6.1494058133682,1,5
21.5,6.00122617547944,1,5
22,5.95482625664918,1,5
22.5,5.94863169261823,1,5
23,6.00448263274399,1,5
23.5,5.90445803367728,1,5
24,5.92423074793895,1,5
24.5,5.94490456436552,1,5
25,5.83685436619396,1,5
25.5,5.82250414789033,1,5
26,6.00876969480126,1,5
26.5,5.87087904255088,1,5
27,6.2347611407682,1,5
27.5,5.58677130125167,1,5
28,5.78186378877083,1,5
28.5,5.69930963649055,1,5
29,5.81147337082847,1,5
